topicIdx,short,key,usercode,created,long,version,mode,conf,wordNum,duration,randomImage_idx
25,"College Schools , Students",4504563310657536,SQ101CFP,2015-03-06T14:13:54,Refers to University College Schools and Students.,4,wordcloud,5,5,85,4
6,Places of interest,4505781470756864,5V22OYQY,2015-03-05T18:22:38,Locations and reviews of city restaurants and entertainment venues.,4,topic-in-a-box,5,10,38,1
26,Jazz,4506934132604928,5XN93F9T,2015-03-05T16:44:39,Music is love.,4,wordcloud,4,10,21,2
16,economy,4507240685895680,AGIKXAD4,2015-03-03T07:00:34,The current state of the economy,4,word,4,20,19,1
38,Tennis,4509492322500608,09TG882S,2015-03-06T00:39:34,Williams won tennis match final,4,wordcloud,4,5,30,4
6,Bush's foreign policy,4510342726025216,NT5E0SLX,2015-03-05T17:26:35,impact of President Bush's Iraq policy on America,4,wordcloud,2,5,67,1
45,Performing arts,4511759528361984,WLSW97OG,2015-03-06T12:57:59,This concept deals with the performing arts,4,topic-in-a-box,4,10,15,2
24,NFL,4512191172575232,58GYJGV2,2015-03-05T22:00:11,A football game between the Giants and Patriots in the Super Bowl,4,wordcloud,5,10,39,1
42,obituary,4512430617001984,IBAXASNG,2015-03-05T20:11:37,information on people who have passed away and their lives,4,wordcloud,4,20,40,3
45,Car design,4512505510494208,80YFMIS0,2015-03-05T15:40:41,Ford and Toyota was designed in Detroit.,4,wordcloud,4,20,41,3
28,Americas nuclear arsenal,4512867361488896,MXH10AOU,2015-03-05T17:25:00,The USA has a lot of nuclear weapons.,4,histogram,4,5,43,5
6,Bush's Administration,4514173299982336,JBEY7BQZ,2015-03-04T01:22:05,Describes the administration of Bush.,4,word,4,20,74,4
19,literature,4514825866575872,R7F8NL9U,2015-03-06T13:22:40,"books pertaining to world history, novels and war",4,histogram,4,10,36,5
29,Misstated Advertising Failure,4515385017630720,JR7EPI62,2015-03-03T07:58:29,I think the concept is of stores that were sued for not advertising honestly.,4,histogram,4,5,29,5
38,Tennis Match,4515436020367360,81TJQOTO,2015-03-03T07:03:29,Serena or Venus Williams' performance at a tennis match. ,4,histogram,5,20,32,5
14,New Drug,4515864443355136,5APLZFRR,2015-03-03T22:55:35, A study to evaluate patients response to a new drug requires research.,4,word,3,10,114,2
41,Sports,4516045100417024,GABAO7EZ,2015-03-05T16:46:37,There are several different kinds of sports played in the USA.,4,topic-in-a-box,3,20,95,4
6,World news,4516428426248192,CZF6UYZ7,2015-03-06T07:24:24,News about relationship of US president and Iraq. ,4,histogram,5,5,47,4
44,Ballet Performance,4517402846953472,KYVLF849,2015-03-05T19:00:27,A Ballet company is performing dances as set to some opera at a theater.,4,histogram,4,10,55,5
7,Property sales numbers,4517659471249408,2UX7UQO9,2015-03-03T23:14:33,A story about the real estate market and its current numbers.,4,word,3,10,56,2
21,Public issue opinions.,4517687656972288,NT62376N,2015-03-06T18:20:01,What are the sources of public opinions on the issue.,4,wordcloud,4,20,123,3
40,basketball,4518283852120064,4H9EWC4P,2015-03-05T18:50:57,Recap of a basketball teams performance.,4,wordcloud,4,5,29,1
25,University Exclusivity,4518544502947840,EO642WT2,2015-03-03T11:39:58,I think it is about how certain universities are becoming more and more exclusive.,4,word,4,10,39,4
11,airports and travel,4519533419167744,QWJ5XOBI,2015-03-03T14:10:06,This looks like air travel and international travel.,4,topic-in-a-box,4,10,19,3
34,Social Work Career,4520264637349888,E6GW3S1H,2015-03-05T17:14:01,The concept is how a social worker makes positive differences in people's lives.,4,topic-in-a-box,5,20,46,2
10,safe air travel,4520495223406592,7QNY5URD,2015-03-05T15:59:44,The articles describe the current safety of international air travel.,4,word,5,5,46,1
23,"People, Life",4521173022932992,N48YLF3H,2015-03-04T20:55:25,JFK was a president who met an untimely death during his presidency. ,4,wordcloud,2,5,34,3
48,Taxes,4522565129207808,VX73TTTF,2015-03-04T08:34:17,You have to pay your federal taxes with money.,4,topic-in-a-box,3,5,17,1
32,Journalist Dies,4522591167447040,EO642WT2,2015-03-03T11:39:58,A journalist who covered a certain war passed away and is survived by his wife.,4,word,4,10,27,4
44,Family Make Up,4523803690401792,E0W6UNPD,2015-03-05T15:50:34,How families are connected within each other.,4,topic-in-a-box,2,5,29,2
5,entertainment district,4524415991676928,365EC025,2015-03-03T13:29:00,The city has many hotels and bars open at night.,4,word,4,10,78,3
14,U.S. medicine,4525859100688384,CCJN7ZD7,2015-03-03T04:06:55,"These words are typically used when discussing health care and the strong relationship with pharmaceuticals, particularly in the U.S.",4,word,4,10,68,2
23,Funerals and people,4527487430164480,Y2F9QR6Q,2015-03-05T02:11:53,Terms for one passing away and people,4,word,3,20,52,4
7,building a house,4527719089963008,W8I0A3ZS,2015-03-05T03:31:36,the length of time it takes to build a large house,4,histogram,4,5,51,2
15,Arts and entertainment,4528126843420672,UHOHNVQW,2015-03-04T01:17:53,Discussion of the various art forms,4,word,3,5,40,3
49,Baseball Fame,4528775920353280,Y0325EQB,2015-03-03T03:07:59,Baseball league contracts issued to Barry Bonds by the New York Yankees and Mets.,4,topic-in-a-box,2,20,110,3
42,funeral,4530264394956800,J9BA1ZV3,2015-03-05T15:28:25,emotions and elements of loss,4,histogram,4,20,16,5
31,iraq army officials,4530760463679488,OJPXOK6W,2015-03-05T18:39:21,iraq army officials declare war,4,topic-in-a-box,3,10,39,2
26,MELODIOUS SOND,4530967158980608,6J70MHVE,2015-03-05T00:32:50,BEAUTIFUL SOUNDS MADE BY INSTRUMENTS,4,word,5,10,53,1
39,oil power,4531266464514048,SB8GMFK7,2015-03-06T00:00:20,one of the powerful needs in the worls is gas and oil ,4,wordcloud,4,5,99,4
40,Hockey verses NBA,4531775686574080,QWDSQ82Q,2015-03-03T08:22:24,This concept details the different sports fans.,4,wordcloud,4,20,56,2
16,Homemakers,4532322758033408,01ULMW4M,2015-03-04T22:19:56,Number of parents staying home and how they make ends meet,4,word,4,10,38,2
32,Death of spouse,4533749760917504,651LUOQV,2015-03-05T15:19:42,A story about how a spouse died after many years of marriage.,4,word,3,5,59,4
33,Birthday,4534376557707264,BFRMJM2W,2015-03-06T04:08:36,Most of these words can be used to describe someone's birthday.,4,histogram,4,5,72,1
48,new tax law,4535208976056320,OD524A0T,2015-03-05T17:16:40,A proposed tax law in Congress,4,topic-in-a-box,4,10,54,1
44,Performing arts venue,4535486538317824,I5RID8JJ,2015-03-04T12:51:30,Description of the events scheduled at a performing arts venue,4,histogram,3,10,41,3
26,music,4536224198950912,PTT44CO3,2015-03-05T15:15:45,Music can be described by many different songs and genres such as jazz,4,wordcloud,4,5,58,4
8,Stock market,4536929647329280,DSEU7SUD,2015-03-05T15:16:11,The NYSE is a stock market.,4,wordcloud,3,5,36,5
15,Film Festival,4538285246382080,79E052R3,2015-03-05T16:35:25,Place where people marvel at different art styles in movies,4,word,4,5,47,4
41,game,4538595020898304,59HI2T9M,2015-03-04T14:14:27,Playoff basketball games are starting,4,topic-in-a-box,2,5,22,3
13,death,4540157315252224,BNZZ8R3P,2015-03-03T06:55:47,death from officer,4,wordcloud,4,20,12,3
49,Foreign Transportation Systems,4542118504693760,1FJL4PD5,2015-03-06T00:42:53,A discussion on how different countries handle their population and transportation issues. ,4,histogram,4,20,30,2
3,Religion ,4542425057984512,AOZ8CI4S,2015-03-04T18:47:07,Religious faith through out history has played a huge role in major life events such as the holocaust. ,4,word,3,20,52,4
5,best dining experience,4545079616208896,SQ4MRDGK,2015-03-03T07:29:26,Which city has the best dining and entertainment experience?,4,wordcloud,3,5,202,5
47,Financial,4545311276007424,BAURDYDB,2015-03-03T07:27:48,A summary of a finance based article.,4,histogram,5,10,22,2
19,Terms of agreement,4545527098114048,4IY3MCF8,2015-03-06T14:52:31,"Los Angeles , and San Francisco in California, and the terms of agreements made.",4,topic-in-a-box,3,5,142,2
6,hotel,4545719029465088,TXAORT0R,2015-03-03T03:10:31,A hotel opened with a bar and restaurant in the city square.,4,topic-in-a-box,4,20,212,4
